,Date,Open,Adj Close,Predicted_Label
2,2021-04-28,171.74000549316406,172.9250030517578,1
200,2021-05-18,164.62899780273438,161.61399841308594,0
141,2021-05-19,159.75,161.58999633789062,1
312,2021-06-02,161.15499877929688,161.69949340820312,1
163,2021-06-04,160.60000610351562,160.31100463867188,0
86,2021-06-08,161.1304931640625,163.20550537109375,1
299,2021-06-09,163.64349365234375,164.0574951171875,1
140,2021-06-18,173.99949645996094,174.34500122070312,1
260,2021-07-06,176.5054931640625,183.78700256347656,1
103,2021-07-08,182.1779937744141,186.57049560546875,1
53,2021-07-09,186.12600708007807,185.9669952392578,1
3,2021-07-16,181.66549682617188,178.68150329589844,0
244,2021-07-19,176.62899780273438,177.47950744628906,1
54,2021-07-22,179.3614959716797,181.9015045166016,1
15,2021-08-04,168.96749877929688,167.73599243164062,0
305,2021-08-10,167.25050354003906,166.03399658203125,0
248,2021-08-11,166.57249450683594,164.60549926757812,0
142,2021-08-17,163.875,162.09800720214844,0
118,2021-08-26,164.9499969482422,165.8000030517578,1
201,2021-09-14,173.77749633789062,172.5,0
155,2021-10-25,166.75,166.01849365234375,0
114,2021-10-29,165.00100708007812,168.6215057373047,1
138,2021-11-05,173.85000610351562,175.94949340820312,1
300,2021-11-10,178.19349670410156,174.1024932861328,0
241,2021-11-15,176.85000610351562,177.28399658203125,1
11,2021-11-30,178.1750030517578,175.35350036621094,0
129,2021-12-15,168.59800720214844,173.31500244140625,1
63,2021-12-16,173.36849975585938,168.87100219726562,0
228,2021-12-22,169.27000427246094,171.03700256347656,1
93,2021-12-29,170.83999633789062,169.2010040283203,0
162,2022-01-05,166.88299560546875,164.35699462890625,0
24,2022-01-06,163.45050048828125,163.25399780273438,1
338,2022-01-18,159.10499572753906,158.91749572753906,0
288,2022-01-25,142.24249267578125,139.98599243164062,0
8,2022-01-28,140.86050415039062,143.97799682617188,1
339,2022-02-04,155.60650634765625,157.63949584960938,1
36,2022-02-10,158.35000610351562,159.0034942626953,1
17,2022-03-01,152.7324981689453,151.14199829101562,0
81,2022-03-03,153.531494140625,147.89849853515625,0
55,2022-03-04,147.15899658203125,145.64100646972656,0
317,2022-03-07,145.44349670410156,137.4530029296875,0
253,2022-03-09,139.5,139.2790069580078,1
289,2022-03-21,161.12100219726562,161.4915008544922,1
256,2022-03-23,163.7050018310547,163.4080047607422,1
197,2022-03-29,170.38400268554688,169.31500244140625,0
178,2022-03-30,168.50950622558594,166.30099487304688,0
334,2022-04-11,152.71299743652344,151.1219940185547,0
33,2022-04-20,157.6024932861328,153.9980010986328,0
121,2022-05-09,111.3125,108.78900146484376,0
89,2022-05-11,108.10350036621094,105.37200164794922,0
212,2022-05-26,107.97000122070312,111.07749938964844,1
238,2022-05-27,113.5500030517578,115.14649963378906,1
202,2022-06-01,122.25599670410156,121.68399810791016,0
174,2022-06-02,121.68399810791016,125.51100158691406,1
125,2022-06-09,119.98999786376952,116.1500015258789,0
12,2022-06-22,107.43000030517578,108.9499969482422,1
193,2022-06-27,117.08999633789062,113.22000122070312,0
340,2022-07-21,123.1999969482422,124.62999725341795,1
44,2022-07-25,122.6999969482422,121.13999938964844,0
335,2022-08-05,140.10000610351562,140.8000030517578,1
